tweet_id,date_created,IATA_CODE,text,AIRLINE NAME,sentiment,day_of_week
570287408438120448,2015-02-24,VX,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,Virgin America,neutral,Tuesday
570285904809598977,2015-02-24,VX,@VirginAmerica Thanks!,Virgin America,positive,Tuesday
570282469121007616,2015-02-24,VX,@VirginAmerica SFO-PDX schedule is still MIA.,Virgin America,negative,Tuesday
570277724385734656,2015-02-24,VX,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,Virgin America,negative,Tuesday
570276917301137409,2015-02-24,VX,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,Virgin America,positive,Tuesday
570270684619923457,2015-02-24,VX,I â¤ï¸ flying @VirginAmerica. âºï¸ð,Virgin America,neutral,Tuesday
570267956648792064,2015-02-24,VX,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,Virgin America,positive,Tuesday
570265883513384960,2015-02-24,VX,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,Virgin America,neutral,Tuesday
570264145116819457,2015-02-24,VX,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,Virgin America,positive,Tuesday
570259420287868928,2015-02-24,VX,@VirginAmerica I love the hipster innovation. You are a feel good brand.,Virgin America,positive,Tuesday
570258822297579520,2015-02-24,VX,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,Virgin America,negative,Tuesday
570256553502068736,2015-02-24,VX,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... ð¡ I want free internet,Virgin America,positive,Tuesday
570249102404923392,2015-02-24,VX,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,Virgin America,negative,Tuesday
570239632807370753,2015-02-24,VX,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,Virgin America,neutral,Tuesday
570217831557677057,2015-02-24,VX,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,Virgin America,positive,Tuesday
570207886493782019,2015-02-24,VX,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,Virgin America,positive,Tuesday
570124596180955136,2015-02-23,VX,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,Virgin America,negative,Monday
570114021854212096,2015-02-23,VX,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems ð¢",Virgin America,negative,Monday
570094701371469825,2015-02-23,VX,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,Virgin America,neutral,Monday
570088404156698625,2015-02-23,VX,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",Virgin America,positive,Monday
570084582780899328,2015-02-23,VX,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",Virgin America,negative,Monday
570076792993611776,2015-02-23,VX,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,Virgin America,positive,Monday
570051991277342720,2015-02-23,VX,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,Virgin America,positive,Monday
570051381534396416,2015-02-23,VX,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. ðâ #MoodlitMonday,Virgin America,positive,Monday
570045393565691904,2015-02-23,VX,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",Virgin America,positive,Monday
570038941497192448,2015-02-23,VX,@VirginAmerica when can I book my flight to Hawaii??,Virgin America,neutral,Monday
570035876845084672,2015-02-23,VX,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,Virgin America,positive,Monday
570033593394667521,2015-02-23,VX,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",Virgin America,neutral,Monday
570025482344898560,2015-02-23,VX,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",Virgin America,positive,Monday
570016304284901379,2015-02-23,VX,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  ð·ððºâï¸,Virgin America,positive,Monday
570015408788414464,2015-02-23,VX,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,Virgin America,neutral,Monday
570013523650048002,2015-02-23,VX,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,Virgin America,neutral,Monday
570012257549070337,2015-02-23,VX,@VirginAmerica I'm #elevategold for a good reason: you rock!!,Virgin America,positive,Monday
570011341483843584,2015-02-23,VX,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,Virgin America,positive,Monday
570010571707256832,2015-02-23,VX,@VirginAmerica wow this just blew my mind,Virgin America,positive,Monday
570010539499393025,2015-02-23,VX,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,Virgin America,positive,Monday
570009713447825408,2015-02-23,VX,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,Virgin America,positive,Monday
570009035455344640,2015-02-23,VX,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",Virgin America,negative,Monday
570006886012973056,2015-02-23,VX,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,Virgin America,positive,Monday
570004391731847169,2015-02-23,VX,@VirginAmerica wish you flew out of Atlanta... Soon?,Virgin America,positive,Monday
570001194900426752,2015-02-23,VX,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.,Virgin America,neutral,Monday
570000071644872704,2015-02-23,VX,@VirginAmerica Will flights be leaving Dallas for LA on February 24th?,Virgin America,neutral,Monday
569996412286582784,2015-02-23,VX,@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!,Virgin America,negative,Monday
569996245462159361,2015-02-23,VX,@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures,Virgin America,neutral,Monday
569990222609412097,2015-02-23,VX,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! ð,Virgin America,positive,Monday
569990163209850881,2015-02-23,VX,@VirginAmerica @ladygaga @carrieunderwood - Carrie!,Virgin America,neutral,Monday
569989504431316993,2015-02-23,VX,@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?,Virgin America,neutral,Monday
569989321698074624,2015-02-23,VX,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.,Virgin America,negative,Monday
569989034501500928,2015-02-23,VX,@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!,Virgin America,neutral,Monday
569987622484848640,2015-02-23,VX,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood ðð",Virgin America,positive,Monday
569986782567071744,2015-02-23,VX,"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!",Virgin America,negative,Monday
569986348041547778,2015-02-23,VX,@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!,Virgin America,positive,Monday
569982307634794497,2015-02-23,VX,@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.,Virgin America,negative,Monday
569976620158578688,2015-02-23,VX,@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/,Virgin America,negative,Monday
569973821396152323,2015-02-23,VX,"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?",Virgin America,neutral,Monday
569972508499283968,2015-02-23,VX,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,Virgin America,positive,Monday
569967019958730753,2015-02-23,VX,@VirginAmerica everything was fine until you lost my bag,Virgin America,negative,Monday
569961866224652288,2015-02-23,VX,@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?,Virgin America,positive,Monday
569949891163615232,2015-02-23,VX,@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.,Virgin America,positive,Monday
569948966873370625,2015-02-23,VX,"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?",Virgin America,neutral,Monday
569946362126602240,2015-02-23,VX,@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt,Virgin America,negative,Monday
569942903683813376,2015-02-23,VX,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",Virgin America,positive,Monday
569941957490774016,2015-02-23,VX,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,Virgin America,positive,Monday
569940834994401280,2015-02-23,VX,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",Virgin America,positive,Monday
569940323746516993,2015-02-23,VX,@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks,Virgin America,positive,Monday
569935232033366017,2015-02-23,VX,@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.,Virgin America,positive,Monday
569934395865493504,2015-02-23,VX,@VirginAmerica what happened to Doom?!,Virgin America,neutral,Monday
569933816963342337,2015-02-23,VX,@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness,Virgin America,positive,Monday
569933777931145216,2015-02-23,VX,@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G,Virgin America,positive,Monday
569933405506310144,2015-02-23,VX,@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(,Virgin America,positive,Monday
569933360564342784,2015-02-23,VX,@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness,Virgin America,negative,Monday
569929243146088448,2015-02-23,VX,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,Virgin America,negative,Monday
569926998824394752,2015-02-23,VX,@VirginAmerica Iâm having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R,Virgin America,neutral,Monday
569923394990419968,2015-02-23,VX,@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code,Virgin America,negative,Monday
569922008588222465,2015-02-23,VX,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,Virgin America,positive,Monday
569920824905306113,2015-02-23,VX,@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?,Virgin America,neutral,Monday
569919041244147712,2015-02-23,VX,@VirginAmerica Why is the site down?  When will it be back up?,Virgin America,neutral,Monday
569915941192015872,2015-02-23,VX,"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!""",Virgin America,positive,Monday
569913339427434496,2015-02-23,VX,"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?",Virgin America,neutral,Monday
569911816937033728,2015-02-23,VX,@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .,Virgin America,positive,Monday
569911674158731264,2015-02-23,VX,"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin",Virgin America,negative,Monday
569911218942517248,2015-02-23,VX,@VirginAmerica why is flight 345 redirected?,Virgin America,neutral,Monday
569910981868060673,2015-02-23,VX,"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.",Virgin America,negative,Monday
569909224521641984,2015-02-23,VX,@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y,Virgin America,neutral,Monday
569907336485019648,2015-02-23,VX,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,Virgin America,negative,Monday
569896805611089920,2015-02-23,VX,@virginamerica What is your phone number. I can't find who to call about a flight reservation.,Virgin America,positive,Monday
569894449620369408,2015-02-23,VX,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,Virgin America,negative,Monday
569894407001939968,2015-02-23,VX,@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM,Virgin America,neutral,Monday
569892199690678272,2015-02-23,VX,@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax,Virgin America,negative,Monday
569891469210755074,2015-02-23,VX,@VirginAmerica check out new music http://t.co/maRcnOCWzn,Virgin America,neutral,Monday
569891436100874241,2015-02-23,VX,@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky,Virgin America,neutral,Monday
569887310713479168,2015-02-23,VX,@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.,Virgin America,negative,Monday
569887049446076416,2015-02-23,VX,"@VirginAmerica - amazing customer  service, again! ðð RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",Virgin America,positive,Monday
569884551712886785,2015-02-23,VX,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm,Virgin America,positive,Monday
569884407852437504,2015-02-23,VX,@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.,Virgin America,negative,Monday
569881548515708928,2015-02-23,VX,@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?,Virgin America,positive,Monday
569873669700358144,2015-02-23,VX,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",Virgin America,positive,Monday
569873668131717120,2015-02-23,VX,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare",Virgin America,positive,Monday
569873665640292353,2015-02-23,VX,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare",Virgin America,positive,Monday
569873664612704256,2015-02-23,VX,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare",Virgin America,positive,Monday
569872058613673984,2015-02-23,VX,@VirginAmerica Have a great week ðâ,Virgin America,positive,Monday
569861209781989377,2015-02-23,VX,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,Virgin America,negative,Monday
569847920192655361,2015-02-23,VX,"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?",Virgin America,negative,Monday
569814339785338880,2015-02-23,VX,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",Virgin America,positive,Monday
569777607371128834,2015-02-23,VX,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,Virgin America,positive,Monday
569774078233419776,2015-02-23,VX,@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.,Virgin America,positive,Monday
569770363623575552,2015-02-23,VX,"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining",Virgin America,positive,Monday
569748316776325120,2015-02-22,VX,@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?,Virgin America,neutral,Sunday
569741221783957504,2015-02-22,VX,"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?",Virgin America,negative,Sunday
569737603617943552,2015-02-22,VX,@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370,Virgin America,negative,Sunday
569714127792254976,2015-02-22,VX,@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!,Virgin America,positive,Sunday
569675144353828864,2015-02-22,VX,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,Virgin America,positive,Sunday
569674358135914496,2015-02-22,VX,"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?",Virgin America,positive,Sunday
569666477265018881,2015-02-22,VX,@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!,Virgin America,positive,Sunday
569652497947734017,2015-02-22,VX,@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue,Virgin America,positive,Sunday
569649116487290880,2015-02-22,VX,@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?,Virgin America,neutral,Sunday
569643262459269120,2015-02-22,VX,@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?,Virgin America,negative,Sunday
569642845516275712,2015-02-22,VX,@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.,Virgin America,negative,Sunday
569634318349246464,2015-02-22,VX,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry,Virgin America,negative,Sunday
569633630978310145,2015-02-22,VX,@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?,Virgin America,positive,Sunday
569633279546036224,2015-02-22,VX,@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!,Virgin America,negative,Sunday
569630092273410048,2015-02-22,VX,@VirginAmerica Another delayed flight? #likingyoulessandless,Virgin America,negative,Sunday
569627480425766912,2015-02-22,VX,@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise,Virgin America,positive,Sunday
569625739231948800,2015-02-22,VX,@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015,Virgin America,neutral,Sunday
569625609799774208,2015-02-22,VX,"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9",Virgin America,neutral,Sunday
569620102389350401,2015-02-22,VX,@VirginAmerica always!!! Xoxo,Virgin America,positive,Sunday
569619569372823552,2015-02-22,VX,@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated,Virgin America,positive,Sunday
569618527948115968,2015-02-22,VX,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame,Virgin America,positive,Sunday
569616490380439552,2015-02-22,VX,@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!,Virgin America,positive,Sunday
569615109363929088,2015-02-22,VX,@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service ð,Virgin America,positive,Sunday
569614365755899905,2015-02-22,VX,@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas,Virgin America,positive,Sunday
569614024578600960,2015-02-22,VX,@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!,Virgin America,positive,Sunday
569609971383586817,2015-02-22,VX,"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :(",Virgin America,negative,Sunday
569608328998887424,2015-02-22,VX,@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.,Virgin America,negative,Sunday
569599867716132864,2015-02-22,VX,Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.,Virgin America,positive,Sunday
569596445680115712,2015-02-22,VX,@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf,Virgin America,neutral,Sunday
569596097540132864,2015-02-22,VX,.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.,Virgin America,negative,Sunday
569594386066984960,2015-02-22,VX,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?,Virgin America,negative,Sunday
569586660909973504,2015-02-22,VX,@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?,Virgin America,positive,Sunday
569580805036453888,2015-02-22,VX,@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-),Virgin America,positive,Sunday
569575679722786816,2015-02-22,VX,@VirginAmerica is your website ever coming back online?,Virgin America,neutral,Sunday
569575003248676864,2015-02-22,VX,"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?",Virgin America,positive,Sunday
569574973662232576,2015-02-22,VX,@VirginAmerica Is flight 0769 out of LGA to DFW on time?,Virgin America,neutral,Sunday
569574961158815745,2015-02-22,VX,@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?,Virgin America,neutral,Sunday
569572942381649920,2015-02-22,VX,@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.,Virgin America,negative,Sunday
569572740723712001,2015-02-22,VX,@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!,Virgin America,negative,Sunday
569566981835218944,2015-02-22,VX,"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site",Virgin America,neutral,Sunday
569564853460807680,2015-02-22,VX,"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable.",Virgin America,negative,Sunday
569564610837086209,2015-02-22,VX,"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)",Virgin America,negative,Sunday
569562202405019650,2015-02-22,VX,@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter,Virgin America,negative,Sunday
569541127340040192,2015-02-22,VX,@VirginAmerica is the website down?,Virgin America,neutral,Sunday
569540405676654592,2015-02-22,VX,@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2,Virgin America,negative,Sunday
569494748341407744,2015-02-22,VX,@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers,Virgin America,negative,Sunday
569482263345307648,2015-02-22,VX,@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2,Virgin America,neutral,Sunday
569477692166316033,2015-02-22,VX,@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh,Virgin America,negative,Sunday
569461469042966528,2015-02-22,VX,@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!,Virgin America,neutral,Sunday
569459618881019905,2015-02-22,VX,@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx,Virgin America,neutral,Sunday
569452063920226304,2015-02-22,VX,"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu",Virgin America,neutral,Sunday
569447071910105089,2015-02-22,VX,@VirginAmerica Lister to my show my on Monday 1230 130,Virgin America,neutral,Sunday
569429411646156800,2015-02-22,VX,@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH,Virgin America,neutral,Sunday
569369239183872000,2015-02-21,VX,"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher...",Virgin America,negative,Saturday
569368160291463168,2015-02-21,VX,@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed,Virgin America,neutral,Saturday
569356387785900032,2015-02-21,VX,@VirginAmerica I'd love to know what your policy is for damaged luggage.,Virgin America,positive,Saturday
569354267854704641,2015-02-21,VX,@VirginAmerica Thank you for the follow,Virgin America,positive,Saturday
569351220097216512,2015-02-21,VX,@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers,Virgin America,negative,Saturday
569348775631675392,2015-02-21,VX,@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?,Virgin America,negative,Saturday
569324558999691264,2015-02-21,VX,@VirginAmerica @TTINAC11 I DM you,Virgin America,neutral,Saturday
569323106210152448,2015-02-21,VX,@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas ð©ð­,Virgin America,positive,Saturday
569323082701275138,2015-02-21,VX,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!,Virgin America,negative,Saturday
569318651502989312,2015-02-21,VX,@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?,Virgin America,negative,Saturday
569318130356502528,2015-02-21,VX,ð RT @VirginAmerica: Youâve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt,Virgin America,neutral,Saturday
569316358845911040,2015-02-21,VX,@VirginAmerica Only way to fly! #Elevate #Gold,Virgin America,neutral,Saturday
569311498301870080,2015-02-21,VX,@VirginAmerica If only you guys had flights from CMH.,Virgin America,neutral,Saturday
